j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,2,16,3,-3,22.088,2.358,0.082327,0.024423,1.549233,0.290996,0.713781,0.293342,16.858617,263.096614,2388.257533,1492.660958
1,2,17,3,-3,23.25,2.276,0.07669,0.019494,1.476197,0.304985,0.717764,0.264938,17.456235,273.790139,2349.652822,1468.533014
1,2,18,3,-3,24.413,2.203,0.078455,0.019079,1.565637,0.283364,0.787312,0.292717,18.074939,311.657552,2828.780875,1767.988047
1,2,19,3,-3,25.575,2.138,0.076616,0.017154,1.563041,0.271762,0.811478,0.291039,18.697731,333.599223,3059.958365,1912.473978
1,2,20,3,-3,26.738,2.078,0.075057,0.015418,1.556157,0.263482,0.829983,0.285527,19.326027,354.292953,3258.893088,2036.80818
1,2,21,3,-3,27.9,2.018,0.073635,0.013947,1.54844,0.254592,0.842969,0.27903,19.960518,372.768284,3442.564618,2151.602886
1,2,22,3,-3,29.063,1.958,0.072423,0.012687,1.541372,0.246104,0.851293,0.271492,20.601206,389.080625,3606.266468,2253.916543
1,2,23,3,-3,30.225,1.898,0.071417,0.011605,1.535144,0.238076,0.854841,0.262993,21.246489,402.826955,3745.786799,2341.11675
1,2,24,3,-3,31.388,1.838,0.07067,0.010652,1.530626,0.231706,0.854206,0.253124,21.896439,414.016692,3850.804594,2406.752871
1,2,25,3,-3,32.55,1.778,0.06999,0.009845,1.525912,0.224475,0.847422,0.242789,22.551045,421.431855,3930.135304,2456.334565
1,2,26,3,-3,33.713,1.718,0.069549,0.00914,1.521682,0.217622,0.835018,0.231487,23.209875,425.03766,3972.418541,2482.761588
1,2,27,3,-3,34.875,1.658,0.070674,0.00888,1.549922,0.206197,0.833148,0.228411,23.873495,433.013194,4140.097107,2587.560692
1,2,28,3,-3,36.038,1.598,0.070784,0.008353,1.549326,0.199907,0.809538,0.215384,24.539241,428.448641,4108.058619,2567.536637
1,2,29,3,-3,37.2,1.538,0.071137,0.007897,1.548663,0.193954,0.77876,0.201167,25.207379,418.57964,4022.300051,2513.937532
1,2,30,3,-3,38.363,1.478,0.071834,0.007482,1.548085,0.189665,0.740586,0.18511,25.87808,403.159071,3865.84207,2416.151294
1,2,31,3,-3,39.525,1.418,0.072918,0.007161,1.547359,0.184275,0.693869,0.168442,26.551141,381.489525,3660.400448,2287.75028
1,2,32,3,-3,40.688,1.358,0.074574,0.006905,1.546183,0.179247,0.637994,0.150321,27.226605,353.236789,3386.377661,2116.486038
1,2,33,3,-3,41.85,1.298,0.077177,0.006711,1.545154,0.175768,0.572683,0.13036,27.902034,318.290101,3032.139858,1895.087411
1,2,34,3,-3,43.013,1.238,0.081161,0.006602,1.544519,0.173621,0.496744,0.108681,28.578022,276.235966,2599.56469,1624.727931
1,2,35,3,-3,44.175,1.178,0.071765,0.004933,1.267053,0.172467,0.332425,0.063092,29.257108,184.359174,1545.690568,966.056605
1,2,36,3,-3,45.57,1.106,0.083941,0.005352,1.266661,0.16572,0.230755,0.041881,30.063324,126.865111,1049.268437,655.792773
1,2,37,3,-3,46.5,1.067,0.102833,0.006284,1.265782,0.157205,0.152881,0.026888,30.590339,83.955271,686.613837,429.133648
1,2,38,3,-3,47.07,1.028,0.126393,0.007281,1.264541,0.151249,0.100366,0.016985,30.893854,54.161112,431.439406,269.649629
1,2,39,3,-3,47.256,0.995,0.136639,0.008154,1.26161,0.136689,0.081727,0.01439,31.002244,42.987287,357.684554,223.552846
1,2,40,3,-3,47.442,0.905,0.143204,0.008874,1.259924,0.123144,0.062214,0.011419,31.117202,29.984543,261.089295,163.18081
1,2,41,3,-3,47.628,0.748,0.145124,0.0094,1.265132,0.110143,0.0421,0.008112,31.239755,16.902984,155.115846,96.947404
1,2,42,3,-3,47.814,0.501,0.137763,0.009418,1.278327,0.098619,0.021265,0.004342,31.373315,5.767588,56.309347,35.193342
1,2,43,3,-3,48,0.07,0.999945,-0.999938,1.28236,0.095397,0,0,0.001929,0,0,0
1,3,1,3,-1,1.3,2.4,0.333333,5.323407,0,0.355805,0.051202,-0.03946,8.416716,4.78795,-4.796879,-2.998049
