j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,2,17,3,-3,23.25,2.276,0.044164,0.009202,1.178478,0.34444,1.17536,0.354935,17.504955,450.845679,3165.398053,1978.373783
1,2,18,3,-3,24.413,2.203,0.054641,0.013299,1.524745,0.298551,1.456585,0.540685,18.1222,579.608808,5252.482005,3282.801253
1,2,19,3,-3,25.575,2.138,0.05556,0.012709,1.56687,0.280288,1.494616,0.54751,18.741193,617.297401,5783.257757,3614.536098
1,2,20,3,-3,26.738,2.078,0.055166,0.011583,1.562154,0.270675,1.495677,0.525871,19.366055,641.103695,6026.963958,3766.852473
1,2,21,3,-3,27.9,2.018,0.054624,0.010563,1.554274,0.261312,1.493157,0.504513,19.997447,662.732631,6247.544204,3904.715127
1,2,22,3,-3,29.063,1.958,0.054049,0.009656,1.54672,0.252548,1.490406,0.484576,20.63563,683.463663,6458.225572,4036.390983
1,2,23,3,-3,30.225,1.898,0.053445,0.008848,1.539868,0.244292,1.487797,0.466189,21.278987,703.241297,6660.235543,4162.647214
1,2,24,3,-3,31.388,1.838,0.052867,0.008114,1.534914,0.237751,1.487039,0.448554,21.927675,722.796064,6843.393829,4277.121143
1,2,25,3,-3,32.55,1.778,0.052201,0.007465,1.529759,0.230484,1.485224,0.432892,22.581029,740.583315,7026.063452,4391.289658
1,2,26,3,-3,33.713,1.718,0.051496,0.00688,1.525366,0.22359,1.48379,0.418453,23.239356,757.192554,7199.090831,4499.431769
1,2,27,3,-3,34.875,1.658,0.051671,0.006596,1.551193,0.212495,1.508189,0.420381,23.902412,785.753833,7638.153086,4773.845679
1,2,28,3,-3,36.038,1.598,0.050921,0.006107,1.549942,0.206407,1.50936,0.408358,24.568466,800.734107,7807.232033,4879.520021
1,2,29,3,-3,37.2,1.538,0.050115,0.005658,1.549403,0.200712,1.511011,0.397213,25.237367,814.094589,7961.099334,4975.687084
1,2,30,3,-3,38.363,1.478,0.049196,0.00522,1.549037,0.196855,1.513206,0.385327,25.90968,825.770266,8066.835546,5041.772216
