j k i lambda pitch r c a a_prime CL CD Cn Ct V_rel dT dQ dP
1 4 6 3.000 -12.00 9.300 2.848 0.333333 0.452760 0.000000 0.351714 0.217942 -0.276051 6.455185 14.225286 -167.568344 -62.838129
1 4 7 3.000 -12.00 11.625 3.708 0.333333 0.319122 1.582803 0.334807 1.490555 0.628971 7.004912 149.161205 731.697149 274.386431
1 4 8 3.000 -12.00 12.555 3.672 0.333333 0.281605 1.583531 0.333674 1.504224 0.596840 7.239379 159.213786 793.126713 297.422517
1 4 9 3.000 -12.00 13.950 3.418 0.333333 0.236433 1.585360 0.323632 1.518575 0.558600 7.605012 165.109029 847.245853 317.717195
1 4 10 3.000 -12.00 15.113 3.196 0.333333 0.206451 1.584907 0.317696 1.528428 0.526088 7.921500 168.588968 876.987922 328.870471
1 4 11 3.000 -12.00 16.275 3.002 0.333333 0.181745 1.583515 0.311697 1.535975 0.495435 8.247290 172.496394 905.531445 339.574292
1 4 12 3.000 -12.00 17.438 2.833 0.333333 0.161122 1.580014 0.306056 1.540548 0.465647 8.582055 176.793826 931.849526 349.443572
1 4 13 3.000 -12.00 18.600 2.687 0.333333 0.143768 1.568977 0.302199 1.538002 0.433086 8.924407 181.028064 948.147186 355.555195
1 4 14 3.000 -12.00 19.763 2.561 0.333333 0.129010 1.558830 0.297486 1.534694 0.403937 9.274191 185.928571 967.142408 362.678403
1 4 15 3.000 -12.00 20.925 2.452 0.333333 0.116381 1.551563 0.292572 1.532912 0.378322 9.630133 191.718875 990.090516 371.283944
1 4 16 3.000 -12.00 22.088 2.358 0.333333 0.105479 1.543806 0.287191 1.529678 0.354826 9.992236 198.075967 1014.855222 380.570708
1 4 17 3.000 -12.00 23.250 2.276 0.333333 0.096020 1.532402 0.297536 1.528445 0.317238 10.359331 205.327987 990.846857 371.567571
1 4 18 3.000 -12.00 24.413 2.203 0.333333 0.087752 1.564161 0.287044 1.558436 0.316654 10.731559 217.466271 1078.720152 404.520057
1 4 19 3.000 -12.00 25.575 2.138 0.333333 0.080496 1.567857 0.277827 1.562719 0.305407 11.107839 226.730759 1133.245150 424.966931
1 4 20 3.000 -12.00 26.738 2.078 0.333333 0.074085 1.563828 0.272727 1.560935 0.288826 11.488425 235.458315 1164.913759 436.842660
1 4 21 3.000 -12.00 27.900 2.018 0.333333 0.068404 1.559157 0.267000 1.557956 0.273919 11.872308 243.730244 1195.584460 448.344173
1 4 22 3.000 -12.00 29.063 1.958 0.333333 0.063339 1.554582 0.261667 1.554884 0.259864 12.259833 251.676364 1222.449145 458.418429
1 4 23 3.000 -12.00 30.225 1.898 0.333333 0.058813 1.550329 0.256768 1.551974 0.246627 12.650047 259.255309 1245.233699 466.962637
1 4 24 3.000 -12.00 31.388 1.838 0.333333 0.054746 1.547478 0.253461 1.550643 0.233315 13.043367 266.685596 1259.489102 472.308413
1 4 25 3.000 -12.00 32.550 1.778 0.333333 0.051084 1.543985 0.249252 1.548195 0.221602 13.438889 273.430399 1273.929670 477.723626
1 4 26 3.000 -12.00 33.713 1.718 0.333333 0.047771 1.540788 0.245401 1.545945 0.210485 13.837084 279.684972 1283.785794 481.419673
1 4 27 3.000 -12.00 34.875 1.658 0.333333 0.044769 1.554838 0.239842 1.559595 0.206660 14.237084 288.271046 1332.173387 499.565020
1 4 28 3.000 -12.00 36.038 1.598 0.333333 0.042036 1.555571 0.235843 1.560818 0.198168 14.639407 293.994198 1345.181290 504.442984
1 4 29 3.000 -12.00 37.200 1.538 0.333333 0.039546 1.555524 0.232397 1.561320 0.189585 15.043210 298.876711 1350.037721 506.264145
1 4 30 3.000 -12.00 38.363 1.478 0.333333 0.037266 1.555501 0.230723 1.562196 0.179888 15.449051 303.093321 1338.920234 502.095088
1 4 31 3.000 -12.00 39.525 1.418 0.333333 0.035178 1.555462 0.227896 1.562645 0.171869 15.856107 306.402630 1331.993112 499.497417
1 4 32 3.000 -12.00 40.688 1.358 0.333333 0.033257 1.555427 0.225342 1.563075 0.164101 16.264964 308.850703 1319.304398 494.739149
1 4 33 3.000 -12.00 41.850 1.298 0.333333 0.031490 1.555416 0.224511 1.563857 0.155162 16.674818 310.424952 1288.961480 483.360555
1 4 34 3.000 -12.00 43.013 1.238 0.333333 0.029857 1.555428 0.225376 1.564966 0.145022 17.086279 311.087963 1239.974741 464.990528
1 4 35 3.000 -12.00 44.175 1.178 0.333333 0.028349 1.214720 0.245537 1.238685 0.038638 17.498554 245.738472 338.610969 126.979113
1 4 36 3.000 -12.00 45.570 1.106 0.333333 0.026683 1.216328 0.243935 1.240121 0.032539 17.994929 244.276666 292.077563 109.529086
1 4 37 3.000 -12.00 46.500 1.067 0.333333 0.025652 1.219423 0.240853 1.242592 0.031107 18.326656 244.918728 285.104202 106.914076
1 4 38 3.000 -12.00 47.070 1.028 0.333333 0.025049 1.218078 0.242192 1.241641 0.026456 18.530276 241.054639 241.762650 90.660994
1 4 39 3.000 -12.00 47.256 0.995 0.333333 0.024857 1.237266 0.223080 1.256289 0.048266 18.596769 237.766345 431.681003 161.880376
1 4 40 3.000 -12.00 47.442 0.905 0.333333 0.024667 1.256136 0.204087 1.270688 0.069876 18.663285 220.305940 574.751818 215.531932
1 4 41 3.000 -12.00 47.628 0.748 0.333333 0.024479 1.264414 0.188908 1.275587 0.085482 18.729824 184.094864 587.582255 220.343345
1 4 42 3.000 -12.00 47.814 0.501 0.333333 0.024294 1.266770 0.175418 1.275084 0.098177 18.796386 124.133155 456.997506 171.374065
